Trial,Filename,Creation Time,Timecode,FPS,Offset (frames)
20250324_093808,20250324_093808-CAMERA11-GX011345.MP4,2025-06-12 13:41:10.000000,16:40:10:218,239.76,0
20250324_093808,20250324_093808-CAMERA10-GX011345.MP4,2025-06-12 13:41:11.000000,16:40:11:079,239.76,101
20250324_093808,20250324_093808-CAMERA12-GX011345.MP4,2025-06-12 13:41:11.000000,16:40:11:073,239.76,95
20250324_094008,20250324_094008-CAMERA10-GX011345.MP4,2025-06-12 13:41:43.000000,16:40:43:143,239.76,0
20250324_094008,20250324_094008-CAMERA11-GX011345.MP4,2025-06-12 13:41:43.000000,16:40:43:145,239.76,2
20250324_094008,20250324_094008-CAMERA12-GX011345.MP4,2025-06-12 13:41:43.000000,16:40:43:174,239.76,31
20250324_094908,20250324_094908-CAMERA10-GX011345.MP4,2025-06-12 13:42:41.000000,16:41:41:041,239.76,0
20250324_094908,20250324_094908-CAMERA11-GX011345.MP4,2025-06-12 13:42:41.000000,16:41:41:013,239.76,-28
20250324_094908,20250324_094908-CAMERA12-GX011345.MP4,2025-06-12 13:42:41.000000,16:41:41:048,239.76,7
